features,xgb,mi,corr,mean_rank
strata,2.0,2.0,1.0,1.6666666666666667
sector_1.0,1.0,4.0,4.0,3.0
utl_exp_ppp17,6.0,1.0,2.0,3.0
educ_max,5.0,5.0,5.0,5.0
sewer,3.0,7.0,7.0,5.666666666666667
sfworkershh,11.0,8.0,6.0,8.333333333333334
consumed2600,4.0,16.0,9.0,9.666666666666666
region7,9.0,15.0,10.0,11.333333333333334
consumed4700,7.0,13.0,15.0,11.666666666666666
region5,18.0,9.0,8.0,11.666666666666666
hsize,8.0,14.0,13.0,11.666666666666666
consumed4600,10.0,18.0,16.0,14.666666666666666
any_nonagric,19.0,11.0,14.0,14.666666666666666
consumed2700,13.0,24.0,20.0,19.0
num_children10,16.0,26.0,18.0,20.0
num_children5,12.0,29.0,22.0,21.0
num_children18,28.0,22.0,17.0,22.333333333333332
consumed3500,15.0,31.0,26.0,24.0
consumed2400,14.0,30.0,29.0,24.333333333333332
water,34.0,27.0,19.0,26.666666666666668
toilet,63.0,12.0,11.0,28.666666666666668
sworkershh,43.0,20.0,23.0,28.666666666666668
sanitation_source,73.0,6.0,12.0,30.333333333333332
consumed4900,30.0,33.0,30.0,31.0
consumed3700,20.0,48.0,27.0,31.666666666666668
dietary_diversity,22.0,10.0,63.0,31.666666666666668
consumed3900,24.0,42.0,41.0,35.666666666666664
urban,104.0,3.0,3.0,36.666666666666664
consumed4300,31.0,45.0,34.0,36.666666666666664
consumed1100,51.0,34.0,25.0,36.666666666666664
region6,47.0,36.0,28.0,37.0
consumed2800,23.0,61.0,32.0,38.666666666666664
water_source,82.0,19.0,21.0,40.666666666666664
region1,69.0,23.0,33.0,41.666666666666664
consumed4800,52.0,37.0,39.0,42.666666666666664
elect,86.0,25.0,24.0,45.0
consumed4100,33.0,54.0,50.0,45.666666666666664
dweltyp,27.0,17.0,93.0,45.666666666666664
consumed1000,25.0,51.0,64.0,46.666666666666664
consumed3000,37.0,62.0,43.0,47.333333333333336
consumed4400,17.0,82.0,48.0,49.0
consumed400,32.0,47.0,70.0,49.666666666666664
consumed2500,29.0,32.0,89.0,50.0
consumed2100,58.0,46.0,47.0,50.333333333333336
consumed1300,41.0,44.0,69.0,51.333333333333336
consumed3100,36.0,73.0,51.0,53.333333333333336
share_secondary,26.0,39.0,95.0,53.333333333333336
consumed900,46.0,35.0,80.0,53.666666666666664
weight,54.0,21.0,87.0,54.0
consumed800,21.0,63.0,83.0,55.666666666666664
consumed1200,80.0,38.0,49.0,55.666666666666664
consumed5000,55.0,69.0,46.0,56.666666666666664
employed,77.0,56.5,37.0,56.833333333333336
consumed3200,78.0,60.0,36.0,58.0
consumed4200,60.0,74.0,44.0,59.333333333333336
consumed4500,70.0,43.0,66.0,59.666666666666664
consumed2300,53.0,75.0,53.0,60.333333333333336
consumed1600,56.0,65.0,60.0,60.333333333333336
sector_13.0,83.0,58.0,42.0,61.0
num_adult_female,72.0,53.0,58.0,61.0
sector_11.0,87.0,66.0,31.0,61.333333333333336
consumed2200,35.0,76.0,75.0,62.0
region2,44.0,81.0,68.0,64.33333333333333
grain_score,98.0,41.0,54.0,64.33333333333333
sector_12.0,84.0,70.0,40.0,64.66666666666667
sector_7.0,88.0,52.0,56.0,65.33333333333333
consumed1900,75.0,71.0,52.0,66.0
sector_0.0,104.0,56.5,38.0,66.16666666666667
consumed3400,74.0,59.0,67.0,66.66666666666667
region3,50.0,77.0,73.0,66.66666666666667
sector_14.0,95.0,72.0,35.0,67.33333333333333
consumed500,89.0,68.0,45.0,67.33333333333333
consumed1400,42.0,79.0,84.0,68.33333333333333
sector_8.0,49.0,80.0,77.0,68.66666666666667
sector_3.0,39.0,100.0,71.0,70.0
age,68.0,67.0,76.0,70.33333333333333
consumed3600,65.0,88.0,59.0,70.66666666666667
consumed1800,67.0,84.0,61.0,70.66666666666667
num_adult_male,76.0,64.0,72.0,70.66666666666667
owner,71.0,85.0,57.0,71.0
consumed300,40.0,86.0,88.0,71.33333333333333
consumed600,38.0,83.0,94.0,71.66666666666667
protein_score,92.0,28.0,98.0,72.66666666666667
consumed3300,81.0,40.0,97.0,72.66666666666667
sector_10.0,59.0,97.0,62.0,72.66666666666667
male,79.0,92.0,55.0,75.33333333333333
consumed3800,100.0,49.0,78.0,75.66666666666667
sector_4.0,57.0,93.0,82.0,77.33333333333333
consumed2900,66.0,78.0,91.0,78.33333333333333
consumed1700,48.0,96.0,92.0,78.66666666666667
consumed100,102.0,55.0,81.0,79.33333333333333
sector_9.0,61.0,87.0,99.0,82.33333333333333
consumed2000,93.0,50.0,104.0,82.33333333333333
num_elderly,45.0,105.0,103.0,84.33333333333333
consumed1500,97.0,94.0,65.0,85.33333333333333
consumed200,91.0,90.0,79.0,86.66666666666667
sector_6.0,62.0,98.0,102.0,87.33333333333333
sector_16.0,64.0,99.0,100.0,87.66666666666667
consumed700,90.0,89.0,85.0,88.0
region4,101.0,95.0,74.0,90.0
sector_15.0,85.0,101.0,86.0,90.66666666666667
consumed4000,94.0,91.0,101.0,95.33333333333333
sector_5.0,99.0,102.0,90.0,97.0
sector_2.0,96.0,104.0,96.0,98.66666666666667
dweltyp_is_missing,104.0,103.0,105.0,104.0
